source,label,model_id
drone_novelty1,base,
drone_novelty1,no repair,
drone_novelty1,repair1,8.0
drone_novelty1,repair2,10.0
drone_novelty1,repair3,
drone_novelty1,repair4,7.0
drone_novelty2,base,
drone_novelty2,no repair,
drone_novelty2,repair1,4.0
drone_novelty2,repair2,11.0
drone_novelty2,repair3,
drone_novelty2,repair4,5.0
drone_novelty3,base,
drone_novelty3,no repair,
drone_novelty3,repair1,4.0
drone_novelty3,repair2,9.0
drone_novelty3,repair3,
drone_novelty3,repair4,4.0
drone_novelty4,base,
drone_novelty4,no repair,
drone_novelty4,repair1,
drone_novelty4,repair2,9.0
drone_novelty4,repair3,
drone_novelty4,repair4,11.0
drone_novelty5,base,
drone_novelty5,no repair,
drone_novelty5,repair1,
drone_novelty5,repair2,9.0
drone_novelty5,repair3,
drone_novelty5,repair4,11.0
drone_novelty6,base,
drone_novelty6,no repair,
drone_novelty6,repair1,
drone_novelty6,repair2,11.0
drone_novelty6,repair3,
drone_novelty6,repair4,11.0
drone_novelty7,base,
drone_novelty7,no repair,
drone_novelty7,repair1,
drone_novelty7,repair2,
drone_novelty7,repair3,
drone_novelty7,repair4,
drone_novelty8,base,
drone_novelty8,no repair,
drone_novelty8,repair1,
drone_novelty8,repair2,
drone_novelty8,repair3,
drone_novelty8,repair4,
drone_novelty9,base,
drone_novelty9,no repair,
drone_novelty9,repair1,
drone_novelty9,repair2,
drone_novelty9,repair3,
drone_novelty9,repair4,
expedition_novelty1,base,
expedition_novelty1,no repair,
expedition_novelty1,repair1,2.0
expedition_novelty1,repair2,2.0
expedition_novelty1,repair3,5.0
expedition_novelty1,repair4,2.0
expedition_novelty2,base,
expedition_novelty2,no repair,
expedition_novelty2,repair1,2.0
expedition_novelty2,repair2,2.0
expedition_novelty2,repair3,4.0
expedition_novelty2,repair4,2.0
expedition_novelty3,base,
expedition_novelty3,no repair,
expedition_novelty3,repair1,1.0
expedition_novelty3,repair2,2.0
expedition_novelty3,repair3,3.0
expedition_novelty3,repair4,1.0
expedition_novelty4,base,
expedition_novelty4,no repair,
expedition_novelty4,repair1,
expedition_novelty4,repair2,3.0
expedition_novelty4,repair3,5.0
expedition_novelty4,repair4,3.0
expedition_novelty5,base,
expedition_novelty5,no repair,
expedition_novelty5,repair1,
expedition_novelty5,repair2,2.0
expedition_novelty5,repair3,3.0
expedition_novelty5,repair4,2.0
expedition_novelty6,base,
expedition_novelty6,no repair,
expedition_novelty6,repair1,
expedition_novelty6,repair2,2.0
expedition_novelty6,repair3,4.0
expedition_novelty6,repair4,2.0
expedition_novelty7,base,
expedition_novelty7,no repair,
expedition_novelty7,repair1,
expedition_novelty7,repair2,
expedition_novelty7,repair3,8.0
expedition_novelty7,repair4,8.0
expedition_novelty8,base,
expedition_novelty8,no repair,
expedition_novelty8,repair1,
expedition_novelty8,repair2,
expedition_novelty8,repair3,6.0
expedition_novelty8,repair4,6.0
expedition_novelty9,base,
expedition_novelty9,no repair,
expedition_novelty9,repair1,
expedition_novelty9,repair2,
expedition_novelty9,repair3,7.0
expedition_novelty9,repair4,6.0
minecraft_novelty1,base,
minecraft_novelty1,no repair,
minecraft_novelty1,repair1,2.0
minecraft_novelty1,repair2,2.0
minecraft_novelty1,repair3,3.0
minecraft_novelty1,repair4,2.0
minecraft_novelty2,base,
minecraft_novelty2,no repair,
minecraft_novelty2,repair1,1.0
minecraft_novelty2,repair2,2.0
minecraft_novelty2,repair3,3.0
minecraft_novelty2,repair4,1.0
minecraft_novelty3,base,
minecraft_novelty3,no repair,
minecraft_novelty3,repair1,2.0
minecraft_novelty3,repair2,2.0
minecraft_novelty3,repair3,3.0
minecraft_novelty3,repair4,2.0
minecraft_novelty4,base,
minecraft_novelty4,no repair,
minecraft_novelty4,repair1,
minecraft_novelty4,repair2,1.0
minecraft_novelty4,repair3,2.0
minecraft_novelty4,repair4,1.0
minecraft_novelty5,base,
minecraft_novelty5,no repair,
minecraft_novelty5,repair1,
minecraft_novelty5,repair2,1.0
minecraft_novelty5,repair3,2.0
minecraft_novelty5,repair4,1.0
minecraft_novelty6,base,
minecraft_novelty6,no repair,
minecraft_novelty6,repair1,
minecraft_novelty6,repair2,1.0
minecraft_novelty6,repair3,3.0
minecraft_novelty6,repair4,1.0
minecraft_novelty7,base,
minecraft_novelty7,no repair,
minecraft_novelty7,repair1,
minecraft_novelty7,repair2,
minecraft_novelty7,repair3,6.0
minecraft_novelty7,repair4,6.0
minecraft_novelty8,base,
minecraft_novelty8,no repair,
minecraft_novelty8,repair1,
minecraft_novelty8,repair2,
minecraft_novelty8,repair3,6.0
minecraft_novelty8,repair4,6.0
minecraft_novelty9,base,
minecraft_novelty9,no repair,
minecraft_novelty9,repair1,
minecraft_novelty9,repair2,
minecraft_novelty9,repair3,6.0
minecraft_novelty9,repair4,6.0
sailing_novelty1,base,
sailing_novelty1,no repair,
sailing_novelty1,repair1,
sailing_novelty1,repair2,7.0
sailing_novelty1,repair3,27.0
sailing_novelty1,repair4,
sailing_novelty2,base,
sailing_novelty2,no repair,
sailing_novelty2,repair1,35.0
sailing_novelty2,repair2,10.0
sailing_novelty2,repair3,
sailing_novelty2,repair4,47.0
sailing_novelty3,base,
sailing_novelty3,no repair,
sailing_novelty3,repair1,7.0
sailing_novelty3,repair2,13.0
sailing_novelty3,repair3,25.0
sailing_novelty3,repair4,6.0
sailing_novelty4,base,
sailing_novelty4,no repair,
sailing_novelty4,repair1,
sailing_novelty4,repair2,
sailing_novelty4,repair3,
sailing_novelty4,repair4,
sailing_novelty5,base,
sailing_novelty5,no repair,
sailing_novelty5,repair1,
sailing_novelty5,repair2,12.0
sailing_novelty5,repair3,
sailing_novelty5,repair4,
sailing_novelty6,base,
sailing_novelty6,no repair,
sailing_novelty6,repair1,
sailing_novelty6,repair2,8.0
sailing_novelty6,repair3,25.0
sailing_novelty6,repair4,28.0
sailing_novelty7,base,
sailing_novelty7,no repair,
sailing_novelty7,repair1,
sailing_novelty7,repair2,
sailing_novelty7,repair3,
sailing_novelty7,repair4,
sailing_novelty8,base,
sailing_novelty8,no repair,
sailing_novelty8,repair1,
sailing_novelty8,repair2,
sailing_novelty8,repair3,19.0
sailing_novelty8,repair4,
sailing_novelty9,base,
sailing_novelty9,no repair,
sailing_novelty9,repair1,
sailing_novelty9,repair2,
sailing_novelty9,repair3,
sailing_novelty9,repair4,
