Domain,Level,Label,Avg Planning,Avg Exec & Repair
sailing,Level 1 (1-3),oracle,0.16110067533232117,0.02387140133418143
sailing,Level 1 (1-3),base domain - no repair,0.16158707533283934,0.0247702359984396
sailing,Level 1 (1-3),all monomials repair,0.16153959933357934,0.15178866466643134
sailing,Level 1 (1-3),adaptive repair base,0.14597358333393154,0.1404969479999272
sailing,Level 1 (1-3),adaptive repair + support for signature change,0.14093936333238768,0.1396913373332548
sailing,Level 2 (4-6),oracle,1.0610817481748982,0.05249129646503286
sailing,Level 2 (4-6),base domain - no repair,0.14016872133399982,0.023917813998802256
sailing,Level 2 (4-6),all monomials repair,0.2322041253326461,0.19672503000144692
sailing,Level 2 (4-6),adaptive repair base,0.2433013813337311,0.2761562100010148
sailing,Level 2 (4-6),adaptive repair + support for signature change,0.2403930046671303,0.2796639293341044
sailing,Level 3 (7-9),oracle,8.19859076466586,0.04216029733322405
sailing,Level 3 (7-9),base domain - no repair,0.1490135380002903,0.031179834666739528
sailing,Level 3 (7-9),all monomials repair,0.18458164133383737,0.22771313133183868
sailing,Level 3 (7-9),adaptive repair base,0.1810300920016986,0.368853433332212
sailing,Level 3 (7-9),adaptive repair + support for signature change,0.1848749879995982,0.3721185553345519
minecraft,Level 1 (1-3),oracle,0.13283469533431344,0.0060650066668555755
minecraft,Level 1 (1-3),base domain - no repair,0.07794394666707376,0.0045308373336835454
minecraft,Level 1 (1-3),all monomials repair,0.1375666600004964,0.023038094000366983
minecraft,Level 1 (1-3),adaptive repair base,0.12469768866770513,0.01953633200008577
minecraft,Level 1 (1-3),adaptive repair + support for signature change,0.12741661066625964,0.020339608666739274
minecraft,Level 2 (4-6),oracle,0.10888286666692389,0.004137407333085623
minecraft,Level 2 (4-6),base domain - no repair,0.07317324533311571,0.003637610000053731
minecraft,Level 2 (4-6),all monomials repair,0.10651193533296464,0.01618625000002794
minecraft,Level 2 (4-6),adaptive repair base,0.10483048666646937,0.016214639999282857
minecraft,Level 2 (4-6),adaptive repair + support for signature change,0.10469499066666078,0.01631056333358477
